metric,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,positive_bootstrap_share
mean_reverse_profit_per_lot,21.640280546839655,22.07040737475105,-10.951185458300161,53.35022650495273,0.898
total_reverse_profit_per_total_lot,3.8508843568179936,4.069267630508244,-20.51147112601095,27.281519952180386,0.626
