metric,n_candidate_tests,confidence_level,correction,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,positive_bootstrap_share
mean_reverse_profit_per_lot,33,0.9984848484848485,bonferroni,27.2407435076629,27.467669178119998,-39.951786327398715,91.73546885512954,0.91
total_reverse_profit_per_total_lot,33,0.9984848484848485,bonferroni,16.93960386636501,17.155409754862973,-34.528015955172464,58.09199003920999,0.889
