name,campaign_id,n_trades,n_faded,coverage,mean_reverse_profit_per_lot,total_reverse_profit_per_total_lot
do_nothing,53,1063,0,0.0,0.0,0.0
fade_everything,53,1063,1063,1.0,47.35870415899192,31.161292141165855
frozen_reduced_feature_regression,53,1063,85,0.0799623706491063,169.0705882352941,82.48603351955309
do_nothing,54,1511,0,0.0,0.0,0.0
fade_everything,54,1511,1511,1.0,-22.108780845230218,-13.181170672427763
frozen_reduced_feature_regression,54,1511,99,0.0655195234943745,23.767676767676768,55.775587566338125
do_nothing,55,1222,0,0.0,0.0,0.0
fade_everything,55,1222,1222,1.0,-29.884525348425168,-20.681854445527883
frozen_reduced_feature_regression,55,1222,92,0.0752864157119476,-13.362318840579713,-82.34002869440458
do_nothing,56,1732,0,0.0,0.0,0.0
fade_everything,56,1732,1732,1.0,-55.96467933208696,-28.583767133836446
frozen_reduced_feature_regression,56,1732,129,0.0744803695150115,-184.34470284237727,-112.41690300623934
do_nothing,57,1256,0,0.0,0.0,0.0
fade_everything,57,1256,1256,1.0,8.183121019108281,2.8573861056455314
frozen_reduced_feature_regression,57,1256,96,0.0764331210191082,85.95833333333333,22.47916666666667
do_nothing,58,1263,0,0.0,0.0,0.0
fade_everything,58,1263,1263,1.0,13.958511480601741,4.881485806027875
frozen_reduced_feature_regression,58,1263,88,0.0696753760886777,27.829545454545443,-79.66194462330972
do_nothing,59,1490,0,0.0,0.0,0.0
fade_everything,59,1490,1490,1.0,41.87124059385804,18.95659647614955
frozen_reduced_feature_regression,59,1490,141,0.0946308724832214,287.7269503546099,190.961743772242
do_nothing,60,1575,0,0.0,0.0,0.0
fade_everything,60,1575,1575,1.0,9.941365079365076,10.13188381742739
frozen_reduced_feature_regression,60,1575,144,0.0914285714285714,-68.25,-31.418249189439553
do_nothing,61,1573,0,0.0,0.0,0.0
fade_everything,61,1573,1573,1.0,2.7407395634668372,5.250244224422443
frozen_reduced_feature_regression,61,1573,156,0.0991735537190082,-23.371794871794872,16.466277798031342
do_nothing,62,1602,0,0.0,0.0,0.0
fade_everything,62,1602,1602,1.0,-17.03850695264553,-22.532616762635957
frozen_reduced_feature_regression,62,1602,157,0.0980024968789013,86.0001415428167,36.38738417676407
do_nothing,63,1715,0,0.0,0.0,0.0
fade_everything,63,1715,1715,1.0,-6.094593371183059,-6.412674009056856
frozen_reduced_feature_regression,63,1715,196,0.1142857142857142,40.869387755102046,8.506207324643075
do_nothing,64,1696,0,0.0,0.0,0.0
fade_everything,64,1696,1696,1.0,-0.6299401954177897,3.440705966573967
frozen_reduced_feature_regression,64,1696,188,0.1108490566037735,-11.5177304964539,51.17942583732057
do_nothing,65,1746,0,0.0,0.0,0.0
fade_everything,65,1746,1746,1.0,-15.478938873268767,-7.420505357851564
frozen_reduced_feature_regression,65,1746,239,0.1368843069873997,-7.079497907949799,28.46117148157964
do_nothing,66,1911,0,0.0,0.0,0.0
fade_everything,66,1911,1911,1.0,-5.904603050011213,-8.694354315379625
frozen_reduced_feature_regression,66,1911,255,0.1334379905808477,23.48627450980392,-2.0404404404404417
