bootstrap_id,n_faded,coverage,mean_reverse_profit_per_lot,total_reverse_profit_per_total_lot
0,2017,0.09319841049810554,-12.190673448619066,-20.67983074753173
1,2009,0.09474180617778825,6.325247570144874,-6.639297932470622
2,1938,0.09221106723128895,-18.60455085081124,-23.704666870631428
3,2023,0.0967803664545759,5.761795647051391,-5.528592954007321
4,1980,0.09293156857223317,-11.060830232146024,-8.935698287695972
5,1996,0.09067781210248956,-16.01811539746159,-31.609574264071334
6,1930,0.09186976389946687,13.589217733452802,2.109056932851627
7,2110,0.09643069329555322,-26.324764161588806,-27.240536168245892
8,1920,0.08879433936086574,4.653390246449452,-20.538879547725223
9,1899,0.08911309244486157,4.398062263346622,-14.772421578517557
10,1941,0.09134977409638555,7.349955711018918,-12.894559118490871
11,1867,0.08640718285740732,13.271041388957128,-8.685139437157776
12,1884,0.09061177375913813,29.47969352787489,-4.3894923857868005
13,1983,0.09322551831131587,-0.3703564888014279,-14.094810851758913
14,2017,0.09422591796692516,-1.1648536313515576,-24.494113697940396
15,1837,0.08887276245766812,-29.38111180236929,-20.982140975661157
16,1884,0.09201465201465202,20.56668120008088,-6.840586157268092
17,2009,0.09340710433327135,0.023965713187896504,-6.661948064122999
18,1961,0.08941273025715848,-2.9801558971370303,-21.935485415968195
19,1937,0.08821386282903726,2.9875903944166047,-12.072028936480262
20,2042,0.09495024644285316,-9.784603342342145,-34.41556839890697
21,1984,0.0926107454604864,9.574135218338183,-2.563273979629223
22,2145,0.09603760913364674,2.8363285544864474,-19.82452067941879
23,1838,0.08681687213641302,1.148515467122649,-7.926716721414043
24,2150,0.09854700462941743,-3.6069617940199348,-8.526220696508425
25,2000,0.09149130832570906,-1.4604126253132808,-5.926155494337309
26,1879,0.09157366343389053,6.784118692153482,-21.60692871419054
27,1823,0.08772858517805582,-4.969727046634688,-8.454592376577457
28,1850,0.08850827671993111,24.72964336516968,-4.316768765410131
29,2001,0.09206772798380418,20.768495138395714,3.5869623953037113
