metric,bootstrap_mean,bootstrap_median,ci_lower,ci_upper,positive_bootstrap_share
mean_reverse_profit_per_lot,3.71315354960945,4.203456323687824,-33.1893538800524,39.41055115386816,0.591
total_reverse_profit_per_total_lot,-8.379199309444513,-7.911633497990504,-34.68707463782101,16.936873132463646,0.268
