bootstrap_id,n_faded,coverage,mean_reverse_profit_per_lot,total_reverse_profit_per_total_lot
0,8107,0.37459569355882083,1.2517873320449724,4.527130954252474
1,8010,0.37774109879745343,1.4584233274993184,-2.155836206063339
2,7802,0.37122329542751104,-6.680942499364392,-3.365269199575769
3,8085,0.38678658565756113,6.0206601357031,5.495658601982131
4,8114,0.38083169060358585,-4.6430607964814605,1.6762749580856573
5,8062,0.36625477012538615,0.8214789341835983,-1.7084070960793294
6,7840,0.3731911652703732,0.12309400055875676,-2.6251810496932033
7,8106,0.3704583885562817,-6.896637166668623,-3.147137269395425
8,7800,0.36072700365351706,-1.2102970823036612,-5.759082674093991
9,7823,0.3671046457062412,8.482528084851364,2.817943994575994
10,7822,0.36812876506024095,-14.487566693837637,-2.2146931042367615
11,7898,0.36552968945249226,7.6325143279402194,0.3824520231651456
12,7596,0.36533282031550596,1.8766288004767053,-3.331868131868132
13,7814,0.3673546142635513,-3.5809573806152155,0.8413707747390474
14,7883,0.36826123516771,-6.6142979190583295,-6.970507929501528
15,7680,0.37155297532656023,-22.437722946541307,-7.657690573756704
16,7776,0.3797802197802198,-9.788370750976847,-4.842835968699231
17,7981,0.3710712293100242,-4.88529558700623,-7.328313889199499
18,8238,0.3756155389385373,-13.174416506654305,-11.7414719938351
19,8079,0.3679296839420712,-2.8263333246471793,2.8282711090653425
20,7891,0.36692085929508045,-19.803537899473476,-12.10112454006376
21,7944,0.3708164122671895,-5.781817686591895,-8.705537558790024
22,8331,0.37300201477501677,-2.859166436504248,-5.8518821456279735
23,7722,0.3647442255916112,-11.579420784976339,-9.391524955249027
24,8289,0.3799330797084842,-6.610605277217655,-3.6143709718842127
25,8026,0.36715462031107043,-6.448412976851963,-7.076565431706157
26,7681,0.3743359812856377,-1.3812063710680598,-3.245334134097544
27,7622,0.36679499518768044,-9.204990414200939,-8.309080378989014
28,7547,0.3610659267055784,-6.5419661460971,-5.833796083601329
29,8063,0.3709855525904113,-0.07086859113138927,-3.1496190458332545
30,8029,0.380575437265962,4.3444752627993,-6.268926452651142
31,8215,0.37647220567343387,7.856502851542253,5.4134544903831605
32,8046,0.3662433428922573,-17.855427387163818,-7.4012069510268566
33,7941,0.37166526256669474,-4.608673713405484,-2.038563574147411
34,8087,0.3761920267944364,-10.954990590903327,-10.822339039232803
35,7763,0.36604111655978877,-7.103831323553418,-9.125160805492223
36,8462,0.37679223439308934,7.343350900196208,2.0227621654095187
37,7873,0.3688106057057198,7.88885971452655,-0.5096997210661184
38,7896,0.36954181682033044,4.5722789894742375,0.34735900858920477
39,8222,0.37962877458675776,-2.87805062626898,-4.7272699737701345
40,8005,0.36925134923197567,-5.261012466481254,-12.587606206944189
41,8166,0.37553460565647273,-8.60237903067624,-9.390612995027443
42,7621,0.36099663682440436,-0.3043765676492767,2.6052784297541973
43,8065,0.3770806059472602,8.932886642765588,5.741578613229071
44,8067,0.37472129319955405,-3.7745921868428765,-4.874374197390705
45,8085,0.3693298615869535,1.390295231247287,-1.442520343467625
46,8275,0.3781647015812083,-10.943034993415976,-9.593965456385158
47,7725,0.36186059584035973,2.8465976456783824,1.1637395108473179
48,7647,0.36159447701910347,4.1927422094056075,-0.6245227011193639
49,7873,0.37040696306751353,-5.561032513754008,-5.999019466111868
50,8112,0.36428956349919167,0.8630029961697475,-1.0885858617163036
51,8003,0.37252711446259834,6.096067136373568,0.816291427342814
52,7719,0.3684486873508353,1.1536088636069204,-0.6694063620822581
53,8089,0.3890438630242401,-0.36011758235164,-1.3475216257036917
54,7395,0.37373022691666247,10.997677289654979,6.174244247203525
55,7494,0.36271235661391027,-3.9189225983961773,-0.5041148078852461
56,8071,0.3756574354200605,-18.516446126429564,-14.66226712048316
57,7455,0.35591521054139214,-16.31134356402968,-3.044465350051973
58,7446,0.35957118022020473,-2.252971180861994,1.680344765475419
59,7965,0.3748235294117647,-13.736183713625978,-11.363818386377073
60,7633,0.36490104216464286,-15.712649652061106,-5.455917720900224
61,7870,0.3786020108721797,-12.308133600481122,-12.152591671221174
62,7413,0.3491263599114586,-9.34484441305939,-7.291320949924108
63,7993,0.3783131389625142,-11.763175728323688,-11.422680345975746
64,7880,0.37370767333775967,2.305732140351264,-3.085057397550184
65,8063,0.37483148156757007,-9.490332180444911,-7.109854860348821
66,7744,0.365300250011793,-18.838905710061137,-12.538985388277785
67,7441,0.37106667331571336,-1.6692902829210197,-5.352081880130921
68,7668,0.3676639815880322,15.506155916983381,1.353981776525426
69,7982,0.37070406836336617,7.951709090336298,-3.4892673019840648
70,8044,0.37294264917242337,2.4886772059229796,-3.1633257301878763
71,7475,0.364901147180864,-2.792175924761739,-2.4096447825123706
72,7779,0.36644997173544375,-17.521137916487746,-8.101811537863474
73,8144,0.3762357941421048,-0.30072793233418343,-3.5563020198944377
